"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2018,"3",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",98
2018,"3",10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",50
2018,"3",10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",239
2018,"3",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",170
2018,"3",10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",109
2018,"3",10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",118
2018,"3",10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",113
2018,"3",10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",98
2018,"3",99,"No consta",99,"No consta","Contractes de lloguer",407
2018,"4",1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",478
2018,"4",1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",265
2018,"4",1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",101
2018,"4",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",349
2018,"4",2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",261
2018,"4",2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",506
2018,"4",2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",584
2018,"4",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",568
2018,"4",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",618
2018,"4",2,"Eixample",10,"Sant Antoni","Contractes de lloguer",357
2018,"4",3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",375
2018,"4",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",1
2018,"4",3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",118
2018,"4",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",86
2018,"4",3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",163
2018,"4",3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",124
2018,"4",3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",195
2018,"4",3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",403
2018,"4",4,"Les Corts",19,"les Corts","Contractes de lloguer",360
2018,"4",4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",186
2018,"4",4,"Les Corts",21,"Pedralbes","Contractes de lloguer",55
2018,"4",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",21
2018,"4",5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",206
2018,"4",5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",98
2018,"4",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",245
2018,"4",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",470
2018,"4",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",346
2018,"4",6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",135
2018,"4",6,"Gràcia",29,"el Coll","Contractes de lloguer",50
2018,"4",6,"Gràcia",30,"la Salut","Contractes de lloguer",105
2018,"4",6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",702
2018,"4",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",317
2018,"4",7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",177
2018,"4",7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",83
2018,"4",7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",279
2018,"4",7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",29
2018,"4",7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",190
2018,"4",7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",85
2018,"4",7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",59
2018,"4",7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",42
2018,"4",7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",31
2018,"4",7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",5
2018,"4",7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",167
2018,"4",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",155
2018,"4",8,"Nou Barris",45,"Porta","Contractes de lloguer",153
2018,"4",8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",88
2018,"4",8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",3
2018,"4",8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",93
2018,"4",8,"Nou Barris",49,"Canyelles","Contractes de lloguer",8
2018,"4",8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",68
2018,"4",8,"Nou Barris",51,"Verdun","Contractes de lloguer",76
2018,"4",8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",149
2018,"4",8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",30
2018,"4",8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",5
2018,"4",8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",31
2018,"4",8,"Nou Barris",56,"Vallbona","Contractes de lloguer",1
2018,"4",9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",48
2018,"4",9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",7
2018,"4",9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",40
2018,"4",9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",338
2018,"4",9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",192
2018,"4",9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",92
2018,"4",9,"Sant Andreu",63,"Navas","Contractes de lloguer",157
2018,"4",10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",357
2018,"4",10,"Sant Martí",65,"el Clot","Contractes de lloguer",170
2018,"4",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",98
2018,"4",10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",58
2018,"4",10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",292
2018,"4",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",84
2018,"4",10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",97
2018,"4",10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",96
2018,"4",10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",114
2018,"4",10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",106
2018,"4",99,"No consta",99,"No consta","Contractes de lloguer",398
